127.0.0.1 - - [30/Aug/2026:15:20:25 +0200] "GET /api/v1/info HTTP/1.1" 200 763 "-" "curl/8.7.1"
127.0.0.1 - - [30/Aug/2026:15:20:39 +0200] "POST /api/v1/register HTTP/1.1" 200 146 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "POST /api/v1/login HTTP/1.1" 200 312 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects HTTP/1.1" 201 1622 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects HTTP/1.1" 201 1627 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects HTTP/1.1" 201 1628 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects HTTP/1.1" 201 1629 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects HTTP/1.1" 201 1622 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
127.0.0.1 - - [30/Aug/2026:15:20:40 +0200] "PUT /api/v1/projects/2/tasks HTTP/1.1" 201 713 "-" "collaudo-shadow/1.0"
